Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
monte_carlo (t=100),500,160.697,640.679,500,500,500,500,500,500,499,487,399,75,0,0,0,0,16892632,35590,858142,1828
monte_carlo (t=200),500,385.12,1534.54,500,500,500,500,500,500,500,497,460,161,0,0,0,0,21205964,36264,1041861,1880
monte_carlo (t=300),500,603.93,2404.33,500,500,500,500,500,500,500,498,461,174,0,0,0,0,21953192,36336,1076607,1888
monte_carlo (t=400),500,836.868,3330.73,500,500,500,500,500,500,500,499,468,201,0,0,0,0,22923920,36354,1115884,1893
monte_carlo (t=500),500,1079.69,4313.74,500,500,500,500,500,500,500,500,476,213,0,0,0,0,23895872,36454,1158779,1899.5
monte_carlo (t=600),500,1341.5,5348.22,500,500,500,500,500,500,500,498,473,242,1,0,0,0,24954004,36596,1201654,1916.5
monte_carlo (t=700),500,1550.24,6183.93,500,500,500,500,500,500,500,499,471,232,0,0,0,0,24369472,36524,1177513,1906.5
monte_carlo (t=800),500,1794.21,7170.62,500,500,500,500,500,500,500,500,483,232,1,0,0,0,24782984,36526,1195308,1910.5
monte_carlo (t=900),500,2047.73,8157.98,500,500,500,500,500,500,500,500,475,249,1,0,0,0,25129772,36790,1207706,1920.5
monte_carlo (t=1000),500,2371.66,9449.31,500,500,500,500,500,500,500,498,486,280,0,0,0,0,26662500,60166,1271476,2779
monte_carlo (t=1100),500,2578.73,10259.9,500,500,500,500,500,500,500,500,489,258,1,0,0,0,26023804,56456,1247749,2582
monte_carlo (t=1200),500,2790.69,11138.1,500,500,500,500,500,500,500,500,479,252,3,0,0,0,25783444,51340,1237066,2338
monte_carlo (t=1300),500,3062.2,12199.3,500,500,500,500,500,500,500,500,488,257,1,0,0,0,26083616,54260,1249787,2498.5
monte_carlo (t=1400),500,3311.67,13207.2,500,500,500,500,500,500,500,500,484,266,2,0,0,0,26262116,59604,1256843,2740
monte_carlo (t=1500),500,3589.03,14286.4,500,500,500,500,500,500,500,499,486,272,1,0,0,0,26561804,60074,1269720,2766.5
monte_carlo (t=1600),500,3831.15,15297.1,500,500,500,500,500,500,500,500,490,274,0,0,0,0,26633536,59980,1272977,2772.5
monte_carlo (t=1700),500,4133.59,16494,500,500,500,500,500,500,500,500,489,290,0,0,0,0,27179316,60334,1293596,2792
monte_carlo (t=1800),500,4362.23,17344.1,500,500,500,500,500,500,500,498,495,286,0,0,0,0,26791108,60318,1277549,2792
